NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,PROJECT_NAME,GENUS,SPECIES,LENGTH,WEIGHT,SEX,AGE,REPORTED_LIFE_STAGE,PHENOTYPE,HATCHERY_MARK,TAG_NUMBER,COLLECTION_DATE,ESTIMATED_DATE,PICKER,PICK_DATE,LEFTOVER_SAMPLE ,SAMPLE_COMMENTS,NMFS_DNA_ID,STATE_F,COUNTY_F,WATERSHED,TRIB_1,TRIB_2,WATER_NAME,REACH_SITE,HATCHERY,STRAIN,LATITUDE_F,LONGITUDE_F,LOCATION_COMMENTS_F,NMFS_DNA_ID,SPECIES_CODE,COMMON_NAME,LANDFALL_PORT,CRUISE,HAUL,SITE,STATE_M,COUNTY_M,LATITUDE_M,LONGITUDE_M,LOCATION_COMMENTS_M
M129000,M1322,3E,A130140LKR,5586,,Oncorhynchus,mykiss,152,33,,,,,,,9/7/13,,LC,44594,None,Golden trout.,M129000,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 36,,GT-LK,36.19291,-118.494,,,,,,,,,,,,,
M129001,M1322,3F,A130146LKR,5586,,Oncorhynchus,mykiss,124,16,,,,,,,9/8/13,,LC,44594,None,Golden trout.,M129001,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 26,,GT-LK,36.19574,-118.48541,,,,,,,,,,,,,
M129002,M1322,3G,A130147LKR,5586,,Oncorhynchus,mykiss,219,79,,,,,,,9/8/13,,LC,44594,None,Golden trout.,M129002,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 26,,GT-LK,36.19574,-118.48541,,,,,,,,,,,,,
M129003,M1322,3H,A130148LKR,5586,,Oncorhynchus,mykiss,176,44,,,,,,,9/8/13,,LC,44594,None,Golden trout.,M129003,California,Tulare,Kern River,Little Kern River,,Fish Creek,FISH CREEK SECTION 26,,GT-LK,36.19574,-118.48541,,,,,,,,,,,,,
M129004,M1322,4A,A130154LKR,5586,,Oncorhynchus,mykiss,110,13,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129004,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 34,,GT-LK,36.27448,-118.4846,,,,,,,,,,,,,
M129005,M1322,4B,A130156LKR,5586,,Oncorhynchus,mykiss,166,50,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129005,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 34,,GT-LK,36.27448,-118.4846,,,,,,,,,,,,,
M129006,M1322,4C,A130159LKR,5586,,Oncorhynchus,mykiss,166,44,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129006,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 34,,GT-LK,36.27448,-118.4846,,,,,,,,,,,,,
M129007,M1322,4D,A130161LKR,5586,,Oncorhynchus,mykiss,162,53,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129007,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 34,,GT-LK,36.27448,-118.4846,,,,,,,,,,,,,
M129008,M1322,4E,A130163LKR,5586,,Oncorhynchus,mykiss,71,3,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129008,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 34,,GT-LK,36.27448,-118.4846,,,,,,,,,,,,,
M129009,M1322,4F,A130165LKR,5586,,Oncorhynchus,mykiss,85,8,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129009,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 42,,GT-LK,36.27551,-118.47664,,,,,,,,,,,,,
M129010,M1322,4G,A130166LKR,5586,,Oncorhynchus,mykiss,74,5,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129010,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 42,,GT-LK,36.27551,-118.47664,,,,,,,,,,,,,
M129011,M1322,4H,A130167LKR,5586,,Oncorhynchus,mykiss,141,33,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129011,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 42,,GT-LK,36.27551,-118.47664,,,,,,,,,,,,,
M129012,M1322,5A,A130168LKR,5586,,Oncorhynchus,mykiss,177,54,,,,,,,6/28/13,,LC,44594,None,Golden trout.,M129012,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 42,,GT-LK,36.27551,-118.47664,,,,,,,,,,,,,
M129013,M1322,5B,A130173LKR,5586,,Oncorhynchus,mykiss,185,58,,,,,,,6/29/13,,LC,44594,None,Golden trout.,M129013,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 16,,GT-LK,36.26576,-118.50072,,,,,,,,,,,,,
M129014,M1322,5C,A130174LKR,5586,,Oncorhynchus,mykiss,166,42,,,,,,,6/29/13,,LC,44594,None,Golden trout.,M129014,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 16,,GT-LK,36.26576,-118.50072,,,,,,,,,,,,,
M129015,M1322,5D,A130175LKR,5586,,Oncorhynchus,mykiss,175,56,,,,,,,6/29/13,,LC,44594,None,Golden trout.,M129015,California,Tulare,Kern River,Little Kern River,,Lion Creek,LION CREEK SECTION 16,,GT-LK,36.26576,-118.50072,,,,,,,,,,,,,
M129016,M1322,5E,A130209LKR,5586,,Oncorhynchus,mykiss,173,50,,,,,,,7/13/13,,LC,44594,None,Golden trout.,M129016,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 7,,GT-LK,36.29973,-118.51027,,,,,,,,,,,,,
M129017,M1322,5F,A130215LKR,5586,,Oncorhynchus,mykiss,166,34,,,,,,,7/13/13,,LC,44594,None,Golden trout.,M129017,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 7,,GT-LK,36.29973,-118.51027,,,,,,,,,,,,,
M129018,M1322,5G,A130220LKR,5586,,Oncorhynchus,mykiss,85,6,,,,,,,7/13/13,,LC,44594,None,Golden trout.,M129018,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 7,,GT-LK,36.29973,-118.51027,,,,,,,,,,,,,
M129019,M1322,5H,A130222LKR,5586,,Oncorhynchus,mykiss,145,30,,,,,,,7/13/13,,LC,44594,None,Golden trout.,M129019,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 7,,GT-LK,36.29973,-118.51027,,,,,,,,,,,,,
M129020,M1322,6A,A130225LKR,5586,,Oncorhynchus,mykiss,96,9,,,,,,,7/12/13,,LC,44594,None,Golden trout.,M129020,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 12,,GT-LK,36.30157,-118.50568,,,,,,,,,,,,,
M129021,M1322,6B,A130229LKR,5586,,Oncorhynchus,mykiss,180,61,,,,,,,7/12/13,,LC,44594,None,Golden trout.,M129021,California,Tulare,Kern River,Little Kern River,,Tamarack Creek,TAMARACK CREEK SECTION 12,,GT-LK,36.30157,-118.50568,,,,,,,,,,,,,
